SISTEMA,CENTRO DE CONTROL REGIONAL,ZONA DE CARGA,CLAVE,NOMBRE,NIVEL DE TENSIÓN (kV),DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,ZONA DE OPERACIÓN DE TRANSMISIÓN,GERENCIA REGIONAL DE TRANSMISIÓN,ZONA DE DISTRIBUCIÓN,GERENCIA DIVISIONAL DE DISTRIBUCIÓN,CLAVE DE ENTIDAD FEDERATIVA (INEGI),ENTIDAD FEDERATIVA (INEGI),CLAVE DE MUNICIPIO (INEGI),MUNICIPIO (INEGI),REGION DE TRANSMISION
BCA,BAJA CALIFORNIA,ENSENADA,07SVE-115,San Vicente,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07TRI-115,Valle de Trinidad,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07VLP-69,Valle de Guadalupe,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,MEXICALI,07APD-230,Aeropuerto Dos,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CNT-230,Centenario,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CNZ-161,Carranza,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPC-161,Cerro Prieto Cuatro,161.0,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPD-230,Cerro Prieto Dos,230.0,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPT-230,Cerro Prieto Tres,230.0,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPU-161,Cerro Prieto Uno,161.0,Directamente Modelada,Indirectamente Modelada,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CRO-161,Centro,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CSC-230,Compañia Siderurgica California,230.0,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CTY-161,Cetys,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CTY-230,Cetys,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07FEV-161,FEVISA,161.0,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07GOR-161,Gonzalez Ortega,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07KCH-161,Cachanilla,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07MOE-161,Mexican Oriente,161.0,No Aplica,Indirectamente Modelada,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
